%time,field.layout.data_offset,field.data0
1749437731090568836,0,292
1749437731090620001,0,292
1749437731090677692,0,292
1749437731090850494,0,298
1749437731090863485,0,292
1749437731090869559,0,295
1749437731090914520,0,291
1749437731090977195,0,292
1749437731091048027,0,292
1749437731091051152,0,292
1749437731091052998,0,292
1749437731091055198,0,291
1749437731091056480,0,292
1749437731091059145,0,291
1749437731091060574,0,289
1749437731091062900,0,292
1749437731091243713,0,292
1749437731091258422,0,292
1749437731091265169,0,292
1749437731091268388,0,291
1749437731091291377,0,293
1749437731091409202,0,292
1749437731091419881,0,294
1749437731091422551,0,292
1749437731091431389,0,292
1749437731091448324,0,291
1749437731091500533,0,292
1749437731091513054,0,292
1749437731091587060,0,292
1749437731091593151,0,292
1749437731091596426,0,292
1749437731091603822,0,292
1749437731091704972,0,291
1749437731091712532,0,292
1749437731091717954,0,291
1749437731091727220,0,291
1749437731091730704,0,292
1749437731091733788,0,292
1749437731091737257,0,292
1749437731091742880,0,291
1749437731091745832,0,292
1749437731091751175,0,292
1749437731091755651,0,292
1749437731091767033,0,293
1749437731091774765,0,292
1749437731091780522,0,292
1749437731091784090,0,292
1749437731091789473,0,292
1749437731091797593,0,292
1749437731091801938,0,292
1749437731091806172,0,294
1749437731091815043,0,292
1749437731091823103,0,292
1749437731091889069,0,291
1749437731091898585,0,293
1749437731091904724,0,292
1749437731091912727,0,292
1749437731091925401,0,292
1749437731091931267,0,292
1749437731091934339,0,293
1749437731091940638,0,292
1749437731091943676,0,291
1749437731091948987,0,292
1749437731091952762,0,292
1749437731091957800,0,291
1749437731091964514,0,290
1749437731091968919,0,291
1749437731091977408,0,292
1749437731091984221,0,292
1749437731091990210,0,292
1749437731091996983,0,292
1749437731092006115,0,292
1749437731092014809,0,292
1749437731092029031,0,293
1749437731092035436,0,296
1749437731092040814,0,292
1749437731092044588,0,292
1749437731092048512,0,292
1749437731092054821,0,294
1749437731092059386,0,290
1749437731092066766,0,292
1749437731092082388,0,292
1749437731092085915,0,291
1749437731092091764,0,292
1749437731092097851,0,294
1749437731092104506,0,292
1749437731092106986,0,293
1749437731092109585,0,292
1749437731092117900,0,291
1749437731092122293,0,292
1749437731092128512,0,292
1749437731092135627,0,292
1749437731092140552,0,291
1749437731092145486,0,293
1749437731092153888,0,292
1749437731092160184,0,291
1749437731092163585,0,291
1749437731092168618,0,292
1749437731092177381,0,294
1749437731092183595,0,292
1749437731092189917,0,292
1749437731092192804,0,292
1749437731092198054,0,291
1749437731092204580,0,292
1749437731092213260,0,293
1749437731092217379,0,294
1749437731092224606,0,293
1749437731092228844,0,292
1749437731092231318,0,292
1749437731092235261,0,292
1749437731092238192,0,292
1749437731092241964,0,292
1749437731092247183,0,293
1749437731092250166,0,291
1749437731092255864,0,291
1749437731092260418,0,291
1749437731092268861,0,292
1749437731092272345,0,292
1749437731092276698,0,292
1749437731092281161,0,293
1749437731092298900,0,292
1749437731092305615,0,292
1749437731092313770,0,294
1749437731092324226,0,292
1749437731092328828,0,290
1749437731092335104,0,292
1749437731092345688,0,292
1749437731092352245,0,292
1749437731092360376,0,291
1749437731092365340,0,294
1749437731092369764,0,292
1749437731092375388,0,291
1749437731092381698,0,292
1749437731092392783,0,293
1749437731092396021,0,292
1749437731092399165,0,292
1749437731092403297,0,292
1749437731092417639,0,292
1749437731092420292,0,293
1749437731092424000,0,292
1749437731092426480,0,292
1749437731092433250,0,293
1749437731092445250,0,292
1749437731092448857,0,292
1749437731092453248,0,292
1749437731092457895,0,293
1749437731092464385,0,292
1749437731092466985,0,291
1749437731092470285,0,294
1749437731092477992,0,293
1749437731092486604,0,292
1749437731092493536,0,292
1749437731092503671,0,294
1749437731092507539,0,292
1749437731092510178,0,291
1749437731092513925,0,292
1749437731092516328,0,290
1749437731092520552,0,292
1749437731092523715,0,292
1749437731092527073,0,292
1749437731092536873,0,291
1749437731092541951,0,293
1749437731092547675,0,292
1749437731092551583,0,292
1749437731092557868,0,292
1749437731092567837,0,291
1749437731092571626,0,293
1749437731092574442,0,294
1749437731092581129,0,292
1749437731092586571,0,292
1749437731092594274,0,291
1749437731092599492,0,292
1749437731092608130,0,290
1749437731092613606,0,292
1749437731092620044,0,294
1749437731092626011,0,292
1749437731092629296,0,292
1749437731092635230,0,293
1749437731092640106,0,291
1749437731092644354,0,292
1749437731092648369,0,292
1749437731092656028,0,292
1749437731092659604,0,292
1749437731092663220,0,292
1749437731092667358,0,292
1749437731092672231,0,292
1749437731092680825,0,292
1749437731092686674,0,291
1749437731092695610,0,292
1749437731092704023,0,290
1749437731092710538,0,293
1749437731092716612,0,292
1749437731092723836,0,293
1749437731092727815,0,293
1749437731092734823,0,291
1749437731092739892,0,292
1749437731092746222,0,292
1749437731092752058,0,292
1749437731092756278,0,293
1749437731092765602,0,293
1749437731092771963,0,293
1749437731092776399,0,292
1749437731092780413,0,292
1749437731092787028,0,292
1749437731092790834,0,291
1749437731092795214,0,292
1749437731092801657,0,291
1749437731092807064,0,292
1749437731092809526,0,292
1749437731092812067,0,292
1749437731092814227,0,292
1749437731092822355,0,293
